"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1260","Product > PROD-07 Clear search restores products","webkit","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","32","Authentication > AUTH-09 Current user is stored","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","357","Address Shipping > SHIP-01 Shipping page opens from checkout","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","241","API Internal > API-04 Missing product API returns null","webkit","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","46","Payment > PAY-14 Order id is generated","firefox","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","97","Customer Support > SUP-11 Support message accepts text","chromium","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","169","User Profile > PROF-15 Profile can be updated again","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","32","Customer Support > SUP-03 Support email field is visible","chromium","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","91","Address Shipping > SHIP-12 Continue to payment opens payment page","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","54","API Internal > API-11 API product shape has price","firefox","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","813","Product > PROD-14 No-result search renders empty list","chromium","2026-05-29","failed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","176","User Profile > PROF-10 Profile remains visible after save","webkit","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","84","Persistence > PERS-12 Saved data is valid JSON","firefox","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","849","Cart > CART-01 Cart opens from navigation","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","39","API Internal > API-12 API product shape has category","firefox","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","184","Cart > CART-03 Adding one item updates cart count","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","34","Authentication > AUTH-07 Login shows profile navigation link","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","52","API Internal > API-02 Product list API returns three products","chromium","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","148","Cart > CART-07 Quantity can be updated","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","110","Authentication > AUTH-15 Logout returns user to product section","firefox","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","2448","Cart > CART-12 Checkout button opens shipping","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","30","Customer Support > SUP-13 Support ticket is stored","chromium","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","192","API Internal > API-06 Cart API includes product id","webkit","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","122","Address Shipping > SHIP-05 State field accepts text","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","1076","Authentication > AUTH-11 Signup path creates account","firefox","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","58","User Profile > PROF-10 Profile remains visible after save","firefox","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","661","Product > PROD-15 Product section can recover after no-result search","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","194","Product > PROD-09 Product detail opens","chromium","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","311","Product > PROD-08 Category filter works","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","129","Product > PROD-13 Brand search works","chromium","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","50","Cart > CART-06 Subtotal is calculated","firefox","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","85","Cart > CART-15 Cart table hides after clearing","firefox","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","4561","Persistence > PERS-06 Support ticket persists","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","28","Authentication > AUTH-03 Password field is visible","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","694","Persistence > PERS-06 Support ticket persists","firefox","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","969","Authentication > AUTH-12 Session remains after reload","firefox","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","185","Customer Support > SUP-14 Stored support ticket has priority","webkit","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","77","Product > PROD-04 Product prices are visible","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","194","Cart > CART-10 Cart count reflects removal","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","1295","Cart > CART-03 Adding one item updates cart count","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","100","User Profile > PROF-02 Name field is editable","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","120","Product > PROD-01 Product page shows heading","chromium","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","162","Persistence > PERS-09 Cart storage can be cleared","chromium","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","90","Address Shipping > SHIP-02 Name field accepts text","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","145","Cart > CART-14 Clear cart removes items","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","185","Payment > PAY-15 Payment page remains readable after submit","webkit","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","32","User Profile > PROF-13 Profile page contains logout button","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","97","Cart > CART-11 Continue shopping returns to products","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","134","Payment > PAY-02 Card name accepts text","firefox","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","131","Address Shipping > SHIP-07 Shipping method can be changed","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","1209","Authentication > AUTH-10 Profile greeting uses stored user","webkit","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","130","Persistence > PERS-11 Last order can be stored","firefox","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","54","Customer Support > SUP-13 Support ticket is stored","firefox","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","37","Payment > PAY-15 Payment page remains readable after submit","chromium","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","459","Product > PROD-01 Product page shows heading","webkit","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","530","Payment > PAY-07 Invalid card is rejected","firefox","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","759","Customer Support > SUP-10 Support subject accepts text","webkit","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","117","Address Shipping > SHIP-05 State field accepts text","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","185","Cart > CART-15 Cart table hides after clearing","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","396","Persistence > PERS-06 Support ticket persists","chromium","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","193","Cart > CART-06 Subtotal is calculated","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","187","User Profile > PROF-14 Empty name saves as User fallback","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
