"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Product > PROD-04 Product prices are visible","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","11","Product > PROD-05 Product categories are visible","chromium","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","7","Cart > CART-13 Cart data exists in localStorage","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","7","Address Shipping > SHIP-15 Shipping form still contains selected method","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","245","User Profile > PROF-12 Profile values survive reload","webkit","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","17","Product > PROD-05 Product categories are visible","webkit","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","251","Address Shipping > SHIP-01 Shipping page opens from checkout","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","15","Product > PROD-12 Add to cart button is visible","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","17","Product > PROD-11 Rating text is present","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","278","Product > PROD-14 No-result search renders empty list","webkit","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","101","API Internal > API-05 Cart API returns current cart array","chromium","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","243","Product > PROD-07 Clear search restores products","webkit","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","9","User Profile > PROF-11 Profile link remains available","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","7","Cart > CART-10 Cart count reflects removal","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","424","Persistence > PERS-14 User can log back in after persisted logout","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","10","API Internal > API-13 API product shape has stock","chromium","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","6","Payment > PAY-13 COD order stores method","chromium","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","12","Authentication > AUTH-03 Password field is visible","firefox","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","21","Address Shipping > SHIP-03 Address field accepts text","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","648","Persistence > PERS-02 Profile persists in localStorage","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","260","Product > PROD-08 Category filter works","webkit","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","11","User Profile > PROF-08 Profile storage has phone number","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","8","Payment > PAY-13 COD order stores method","firefox","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
